140	15	65	0,003
195	67	13	0,003
195	70	0	0,004
173	45	35	0,003
117	3	57	0,003
109	0	60	0,002
118	20	40	0,002
206	80	0	0,004
150	53	7	0,003
125	0	80	0,002
165	31	49	0,002
169	60	0	0,001
158	34	36	0,004
118	19	41	0,003
133	5	75	0,002
119	0	80	0,001
152	15	55	0,001
146	14	66	0,002
109	0	70	0,002
206	60	20	0,004
137	0	80	0,001
136	25	55	0,003
155	35	45	0,001
144	46	24	0,002
178	50	20	0,002
149	54	6	0,004
139	20	60	0,004
134	18	52	0,003
180	60	0	0,003
197	70	0	0,002
150	43	27	0,003
199	64	16	0,004
184	70	0	0,004
168	60	0	0,002
115	0	70	0,001
119	2	78	0,001
139	26	54	0,002
110	0	70	0,001
190	73	7	0,001
206	80	0	0,004
158	52	18	0,003
177	70	0	0,002
123	0	80	0,001
190	70	0	0,001
130	24	36	0,001
127	10	70	0,001
201	66	14	0,001
182	71	9	0,001
184	46	34	0,001
128	0	80	0,001
171	54	26	0,001
189	61	19	0,001
102	0	60	0,001
172	44	36	0,001
113	0	70	0,001
111	4	66	0,001
151	17	53	0,002
98	0	70	0,001
179	70	0	0,001
153	60	0	0,001
152	49	11	0,001
147	15	65	0,001
178	50	20	0,001
162	53	7	0,001
131	26	54	0,001
190	55	25	0,001
124	28	32	0,001
134	22	48	0,001
186	48	32	0,001
175	59	11	0,001
111	0	80	0,001
185	59	21	0,002
173	70	0	0,002
127	8	72	0,001
187	41	39	0,003
117	9	51	0,001
129	0	80	0,001
146	15	55	0,001
153	27	53	0,001
183	63	17	0,001
194	41	39	0,001
204	80	0	0,001
143	16	54	0,001
152	38	42	0,001
144	24	56	0,001
165	30	50	0,002
154	31	49	0,002
217	80	0	0,002
166	40	30	0,001
181	53	27	0,001
139	10	70	0,001
144	30	50	0,002
174	51	19	0,001
112	0	70	0,001
179	71	9	0,001
120	0	80	0,001
188	72	8	0,002
144	18	62	0,002
164	54	16	0,001
175	50	30	0,001
