11142	4542	1126	0,05
11702	3061	3304	0,072
11271	3467	1817	0,055
15664	6286	410	0,069
14293	3640	3325	0,063
10977	3161	2911	0,082
13502	5496	728	0,114
13855	5149	1015	0,068
12866	4757	2392	0,057
14658	4789	2128	0,065
11760	3263	3572	0,083
8628	360	5259	0,041
10538	2498	3318	0,103
13334	4391	1420	0,081
14589	5109	1145	0,094
9736	1372	5231	0,066
12981	4853	873	0,078
11242	4964	603	0,056
11726	3295	2922	0,072
11498	1868	4469	0,064
12069	3934	1838	0,054
11059	3129	3347	0,078
12902	5024	727	0,058
11423	2813	3743	0,052
11368	2923	3295	0,051
13874	5210	1119	0,062
16731	6371	1048	0,073
13309	3537	3132	0,06
12622	5126	54	0,101
9529	3237	2724	0,069
11646	3319	2159	0,076
13026	4662	2412	0,058
12415	4175	1850	0,07
14872	4707	1866	0,09
9364	2083	3727	0,059
10038	2057	4344	0,046
9980	1994	3723	0,045
12390	2931	3314	0,056
13148	3961	2598	0,059
14714	5928	534	0,071
8190	128	5195	0,055
11999	3541	2347	0,054
11277	2664	3527	0,051
10799	2727	3278	0,062
9380	2881	2627	0,043
11596	3044	3281	0,052
7658	42	6233	0,036
9136	46	6338	0,073
9648	192	6015	0,045
11221	2817	3182	0,05
14884	5022	912	0,094
11296	4092	1484	0,051
13628	4828	455	0,06
14038	5594	316	0,074
12209	3952	1883	0,078
14005	5461	877	0,062
11879	3560	2546	0,054
10400	2239	3632	0,049
12675	2275	4695	0,085
9188	1904	3586	0,043
11261	1653	5434	0,071
17244	6568	200	0,154
12614	5601	6	0,057
9201	969	5708	0,063
15791	6899	40	0,116
12293	3691	2426	0,057
14302	4508	2313	0,064
14339	4414	2787	0,089
10659	2741	1879	0,048
13665	4385	1953	0,061
10685	3043	3270	0,075
9888	2545	3435	0,045
14112	5954	374	0,063
14413	4417	3143	0,064
12297	4506	1258	0,055
12374	4192	2220	0,079
14870	5723	785	0,095
10634	1409	4742	0,074
11017	1734	4964	0,092
13472	3871	2175	0,09
9392	1898	3480	0,064
10872	3190	2276	0,061
14978	6630	171	0,066
10752	1961	4538	0,049
12706	4390	807	0,057
10818	3124	2189	0,05
12365	1531	4997	0,056
8829	177	5514	0,041
11200	2924	3007	0,051
13379	4716	860	0,059
13612	3499	2793	0,097
14337	3647	2887	0,069
10624	3654	1984	0,048
9504	705	4794	0,044
13927	5710	214	0,062
9492	2199	3859	0,044
9694	2915	3338	0,044
11765	2916	2677	0,053
12949	2832	3343	0,067
14442	5467	1149	0,077
