588	32	346	0,003
733	267	58	0,004
816	256	170	0,011
857	281	119	0,004
848	284	42	0,005
616	173	123	0,003
818	206	184	0,005
871	284	124	0,005
803	165	249	0,005
627	85	270	0,003
946	301	76	0,005
653	134	203	0,004
950	222	230	0,005
748	121	332	0,004
451	46	274	0,002
645	120	230	0,003
618	105	203	0,004
673	190	169	0,004
667	126	221	0,004
643	91	300	0,003
693	179	177	0,003
742	272	148	0,004
792	316	0	0,004
931	274	112	0,005
570	56	294	0,003
599	196	115	0,009
845	306	67	0,011
731	182	192	0,004
861	217	157	0,004
738	279	61	0,005
895	367	0	0,007
697	131	205	0,006
654	208	152	0,005
778	276	62	0,004
748	93	311	0,004
772	262	90	0,004
825	255	105	0,005
652	187	193	0,004
639	145	186	0,01
767	169	231	0,004
896	377	22	0,005
652	163	197	0,003
574	144	166	0,003
546	66	303	0,003
662	227	119	0,01
804	249	145	0,011
845	219	202	0,004
921	304	122	0,004
779	203	149	0,011
612	177	174	0,004
763	226	146	0,004
806	117	303	0,004
683	155	225	0,004
606	105	235	0,009
726	173	172	0,01
637	124	284	0,004
793	302	27	0,004
658	126	211	0,003
819	313	75	0,006
728	264	89	0,005
645	90	305	0,005
1 000	390	42	0,007
812	341	15	0,006
706	242	93	0,005
906	388	4	0,006
910	378	42	0,005
907	231	164	0,012
856	378	11	0,01
758	254	110	0,006
695	155	254	0,006
599	76	257	0,005
593	172	176	0,005
647	153	169	0,003
707	127	266	0,01
498	49	291	0,008
675	88	270	0,01
703	169	177	0,004
769	230	130	0,004
688	221	115	0,007
737	257	83	0,006
538	72	268	0,004
655	82	251	0,01
1 107	458	23	0,013
664	123	215	0,01
785	256	132	0,011
704	249	121	0,01
888	269	231	0,011
653	189	118	0,004
606	98	163	0,004
874	352	57	0,006
946	380	20	0,007
640	163	181	0,004
809	176	259	0,005
873	279	141	0,005
872	283	103	0,004
756	264	104	0,004
943	395	0	0,005
699	279	65	0,003
909	368	32	0,005
736	244	127	0,004
